city,attraction,category,description,image,rating,popularity,entryFee,visitDuration,bestSeason,openingHours,latitude,longitude,detourDistance,extraTime,extraFuelCost,importantNotes
Chitral,Chitral Fort,Historical,Historic seat of the Mehtar of Chitral on the banks of Chitral River.,images/chitral/chitral_fort.jpg,4.5,80,50,1.5,Summer,09:00 AM - 05:00 PM,35.852,71.789,1.0,5,30,Located near main bazaar overlooking river.
Chitral,Shahi Masjid,Culture,Grand pink-walled mosque built by Mehtar Shuja ul-Mulk in 1924.,images/chitral/shahi_masjid.jpg,4.6,85,0,1.0,All Year,05:00 AM - 08:00 PM,35.853,71.788,1.2,5,35,Architectural masterpiece of Chitrali craftsmanship.
Chitral,Kalash Valleys,Culture,Home to the ancient indigenous Kalash tribe and unique culture.,images/chitral/kalash_valleys.jpg,4.9,98,200,5.0,Summer,07:00 AM - 07:00 PM,35.670,71.680,35.0,75,900,Respect local traditional customs and camera etiquette.
Chitral,Garam Chashma,Nature,Famous natural hot sulfur springs known for healing properties.,images/chitral/garam_chashma.jpg,4.6,88,100,3.0,Summer,08:00 AM - 06:00 PM,36.000,71.530,45.0,85,1100,Separate natural bathing pools for men and women.
Chitral,Tirich Mir Viewpoint,Nature,Scenery point looking toward the highest peak of the Hindu Kush range.,images/chitral/tirich_mir.jpg,4.7,90,0,2.0,Summer,06:00 AM - 06:00 PM,36.250,71.840,55.0,110,1400,Best clear views during early morning.
Dera Ghazi Khan,Tomb of Ghazi Khan,Historical,15th-century mausoleum of the city's founder Ghazi Khan Mirrani.,images/deraghazikhan/tomb_ghazi_khan.jpg,4.2,70,0,1.0,All Year,08:00 AM - 06:00 PM,30.045,70.630,2.0,8,50,Historic brick architecture under restoration.
Dera Ghazi Khan,Fort Munro,Nature,Scenic hill station located at 6470 feet above sea level.,images/deraghazikhan/fort_munro.jpg,4.7,91,0,4.0,Summer,07:00 AM - 07:00 PM,29.927,69.983,85.0,100,2100,Cool breeze and Demis Lake boat rides.
Dera Ghazi Khan,Taunsa Barrage,Nature,Major irrigation dam on the Indus River constructed in 1958.,images/deraghazikhan/taunsa_barrage.jpg,4.3,76,0,2.0,Winter,08:00 AM - 06:00 PM,30.510,70.830,60.0,65,1400,Bird watching site for migratory waterfowl.
Dera Ghazi Khan,Sakhi Sarwar Shrine,Culture,12th-century shrine of Sufi saint Hazrat Syed Ahmed Sultan.,images/deraghazikhan/sakhi_sarwar.jpg,4.5,83,0,1.5,All Year,05:00 AM - 09:00 PM,29.980,70.320,38.0,45,900,Annual Urs festival draws thousands of pilgrims.
Dera Ghazi Khan,Indus River Park,Family,Riverside recreational park offering boating and sunset views.,images/deraghazikhan/indus_river_park.jpg,4.1,65,20,1.5,Spring,09:00 AM - 08:00 PM,30.050,70.650,5.0,12,120,Family picnic spots and children play equipment.
Faisalabad,Clock Tower,Historical,Iconic 1906 British-era landmark standing at the center of 8 bazaars.,images/faisalabad/clock_tower.jpg,4.7,94,0,1.5,All Year,08:00 AM - 10:00 PM,31.418,73.079,0.5,3,15,Bustling market hub; walk through eight historic bazaars.
Faisalabad,Gumti Water Fountain,Historical,Restored Victorian monument erected in honor of Queen Victoria.,images/faisalabad/gumti_fountain.jpg,4.2,70,0,0.5,All Year,24 Hours,31.416,73.077,0.8,4,20,Located near rail bazaar roundabout.
Faisalabad,Jinnah Garden,Nature,Historical central park featuring lush greenery and fountains.,images/faisalabad/jinnah_garden.jpg,4.3,78,20,1.5,Spring,06:00 AM - 09:00 PM,31.422,73.085,2.0,8,50,Contains tomb of Sir Charles James Lyall.
Faisalabad,Lyallpur Museum,Culture,Regional museum depicting local history, culture, and archaeology.,images/faisalabad/lyallpur_museum.jpg,4.5,82,40,2.0,All Year,09:00 AM - 05:00 PM,31.419,73.080,1.5,6,40,Ten galleries showcasing regional heritage.
Faisalabad,Gatwala Wildlife Park,Family,Sprawling forest park with a lake, wildlife zoo, and botanical garden.,images/faisalabad/gatwala_park.jpg,4.4,85,50,3.0,Autumn,08:00 AM - 06:00 PM,31.460,73.180,14.0,25,350,Boating and bamboo forest walks.
Gilgit,Naltar Valley,Nature,Breathtaking alpine valley famous for colorful lakes and ski resort.,images/gilgit/naltar_valley.jpg,4.9,98,100,5.0,Summer,07:00 AM - 06:00 PM,36.140,74.180,45.0,90,1300,Requires 4x4 jeep from Gilgit town.
Gilgit,Kargah Buddha,Historical,7th-century rock carving of Buddha carved high into a cliff face.,images/gilgit/kargah_buddha.jpg,4.5,84,0,1.0,All Year,08:00 AM - 06:00 PM,35.918,74.260,9.0,20,220,Situated near Kargah Nullah stream.
Gilgit,Gilgit Bridge,Adventure,Longest suspension bridge in the region spanning the Gilgit River.,images/gilgit/gilgit_bridge.jpg,4.3,76,0,0.5,All Year,24 Hours,35.923,74.305,1.5,5,40,Narrow wooden plank bridge for light vehicles.
Gilgit,Rakaposhi Viewpoint,Nature,Spectacular roadside vantage point looking up at 7788m peak.,images/gilgit/rakaposhi_viewpoint.jpg,4.8,95,0,1.5,Summer,06:00 AM - 07:00 PM,36.180,74.420,65.0,75,1600,Riverside handicraft shops and tea stalls.
Gilgit,Danyore Suspension Bridge,Adventure,Historic footbridge linking Gilgit with Danyore across the gorge.,images/gilgit/danyore_bridge.jpg,4.4,80,0,1.0,All Year,24 Hours,35.930,74.360,11.0,22,260,Passes through a rock tunnel carved in mountain.
Gujranwala,Nishan-e-Manzil,Historical,Military memorial park dedicated to national martyrs.,images/gujranwala/nishan_e_manzil.jpg,4.3,74,20,1.0,All Year,08:00 AM - 09:00 PM,32.200,74.180,4.0,12,100,Displays decommissioned military tanks and jets.
Gujranwala,Estcourt Clock Tower,Historical,British-colonial era clock tower located in the heart of city bazaar.,images/gujranwala/estcourt_clock_tower.jpg,4.1,68,0,0.5,All Year,24 Hours,32.160,74.190,2.0,8,50,Surrounded by traditional food markets.
Gujranwala,Jinnah Park,Family,Popular city park featuring children's amusement and walking trails.,images/gujranwala/jinnah_park.jpg,4.2,72,30,1.5,Spring,07:00 AM - 10:00 PM,32.180,74.195,3.0,10,75,Mini train ride and lake for children.
Gujranwala,Sheranwala Bagh,Historical,Historical garden containing Samadhi of Charat Singh Sukerchakia.,images/gujranwala/sheranwala_bagh.jpg,4.3,76,0,1.0,All Year,08:00 AM - 07:00 PM,32.155,74.185,2.5,8,60,Ancient banyan trees and Sikh heritage ruins.
Gujranwala,Lahore Gate,Historical,Ancient city gate marking historic entry route into old Gujranwala.,images/gujranwala/lahore_gate.jpg,4.0,64,0,0.5,All Year,24 Hours,32.150,74.180,2.8,9,70,Located inside old bazaar district.
Hyderabad,Tombs of Talpur Mirs,Historical,Ornate 18th-century mausoleums of the ruling Talpur dynasty.,images/hyderabad/tombs_talpur_mirs.jpg,4.5,82,50,1.5,Winter,08:00 AM - 06:00 PM,25.390,68.370,4.0,12,100,Intricate floral glazed tilework.
Hyderabad,Pacco Qillo,Historical,Massive 18th-century fort built by Mian Ghulam Shah Kalhoro.,images/hyderabad/pacco_qillo.jpg,4.4,80,0,1.5,Winter,08:00 AM - 06:00 PM,25.395,68.368,2.5,8,60,Historic brick fortifications overlooking old city.
Hyderabad,Resham Gali,Culture,Vibrant historic bazaar famous for traditional Sindhi handicrafts and bangles.,images/hyderabad/resham_gali.jpg,4.6,88,0,2.0,All Year,10:00 AM - 10:00 PM,25.392,68.365,2.0,6,50,Famous for colorful Sindhi bangles and ajrak textiles.
Hyderabad,Sindh Museum,Culture,Cultural museum documenting the rich heritage of Indus Civilization.,images/hyderabad/sindh_museum.jpg,4.4,78,30,1.5,All Year,09:00 AM - 05:00 PM,25.405,68.350,3.5,10,80,Exhibits on Sindhi music, folklore, and archaeology.
Hyderabad,Kotri Barrage,Nature,Historic dam on the Indus River inaugurated in 1955.,images/hyderabad/kotri_barrage.jpg,4.3,75,0,1.0,Winter,08:00 AM - 08:00 PM,25.368,68.315,8.0,18,200,Riverside fish restaurants and sunset views.
Islamabad,Faisal Mosque,Culture,Pakistan's largest mosque located at the foot of Margalla Hills.,images/islamabad/faisal_mosque.jpg,4.9,99,0,1.5,All Year,05:00 AM - 09:30 PM,33.729,73.037,4.0,10,100,Iconic Bedouin tent design by Turkish architect Vedat Dalokay.
Islamabad,Pakistan Monument,Historical,National monument shaped like a blooming flower representing Pakistan.,images/islamabad/pakistan_monument.jpg,4.8,96,50,2.0,All Year,09:00 AM - 08:00 PM,33.693,73.068,5.0,12,120,Features wax museum depicting national history.
Islamabad,Daman-e-Koh,Nature,Hilltop garden lookout point offering sweeping views of Islamabad.,images/islamabad/daman_e_koh.jpg,4.7,92,20,2.0,Spring,07:00 AM - 10:00 PM,33.748,73.058,8.5,20,220,Electric golf cart shuttle and hilltop dining.
Islamabad,Lok Virsa Museum,Culture,National heritage museum showcasing traditional Pakistani arts and crafts.,images/islamabad/lok_virsa.jpg,4.6,88,100,2.5,All Year,10:00 AM - 07:00 PM,33.687,73.073,5.5,14,140,Vast display of ethnic statues and artisanal crafts.
Islamabad,Rawal Lake,Nature,Scenic artificial reservoir popular for boating, picnic, and bird watching.,images/islamabad/rawal_lake.jpg,4.5,85,40,2.5,Autumn,08:00 AM - 07:00 PM,33.698,73.125,7.0,16,180,Water sports, motorboating, and bird watching.
Karachi,Clifton Beach,Nature,Famous urban beach along the Arabian Sea coastline.,images/karachi/clifton_beach.jpg,4.5,90,0,2.0,Winter,24 Hours,24.810,67.030,8.0,20,200,Camel rides, horse rides, and sea breeze.
Karachi,Mazar-e-Quaid,Historical,Mausoleum of Quaid-e-Azam Muhammad Ali Jinnah, founder of Pakistan.,images/karachi/mazar_e_quaid.jpg,4.9,98,20,1.5,All Year,09:00 AM - 05:30 PM,24.875,67.040,4.0,10,100,White marble dome surrounded by 53-hectare park.
Karachi,Frere Hall,Historical,Victorian Gothic building housed in lush gardens, built in 1865.,images/karachi/frere_hall.jpg,4.6,87,0,1.5,All Year,09:00 AM - 06:00 PM,24.847,67.033,5.0,12,120,Contains ceiling mural painted by Sadequain.
Karachi,Mohatta Palace,Culture,Ornate Indo-Saracenic pink stone palace built in 1927.,images/karachi/mohatta_palace.jpg,4.7,91,100,2.0,All Year,11:00 AM - 06:00 PM,24.814,67.033,9.0,22,220,Art exhibitions and stone architecture.
Karachi,National Museum of Pakistan,Historical,Premier museum showcasing Indus Valley and Islamic art artifacts.,images/karachi/national_museum.jpg,4.5,82,50,2.0,All Year,09:00 AM - 05:00 PM,24.858,67.021,6.0,15,150,Houses Priest-King statue and Quranic manuscripts.
Khuzdar,Moola Chotok,Adventure,Hidden oasis featuring emerald-green pools and waterfalls between canyons.,images/khuzdar/moola_chotok.jpg,4.9,95,200,6.0,Winter,06:00 AM - 06:00 PM,28.250,67.150,105.0,150,3000,Requires 4x4 vehicle; crystal clear swimming pools.
Khuzdar,Ziarat Pir Umar,Culture,Ancient spiritual shrine located in Khuzdar district.,images/khuzdar/ziarat_pir_umar.jpg,4.2,70,0,1.0,All Year,08:00 AM - 06:00 PM,27.820,66.610,12.0,25,300,Local Baloch heritage site.
Khuzdar,Baghwana Valley,Nature,Fertile agricultural valley known for traditional orchards.,images/khuzdar/baghwana_valley.jpg,4.3,74,0,2.0,Spring,07:00 AM - 06:00 PM,27.950,66.700,25.0,40,600,Famous for pomegranate and date orchards.
Khuzdar,Khuzdar Clock Tower,Historical,Central landmark located at the intersection of main city bazaar.,images/khuzdar/khuzdar_clock_tower.jpg,4.0,60,0,0.5,All Year,24 Hours,27.812,66.608,1.0,3,25,Town center landmark.
Khuzdar,Karkh Stream,Nature,Natural freshwater stream flowing through scenic rock formations.,images/khuzdar/karkh_stream.jpg,4.4,78,0,2.5,Winter,08:00 AM - 05:00 PM,27.750,66.850,40.0,60,950,Freshwater stream and picnic spots.
Lahore,Badshahi Mosque,Culture,Built by Aurangzeb in 1673 and one of the largest mosques in the world.,images/lahore/badshahi_mosque.jpg,4.9,99,0,1.5,All Year,08:00 AM - 08:00 PM,31.588,74.310,2.0,8,60,Red sandstone courtyard capacity of 100,000 worshippers.
Lahore,Lahore Fort,Historical,UNESCO World Heritage Site dating back to the Mughal Empire.,images/lahore/lahore_fort.jpg,4.8,97,100,2.5,All Year,08:30 AM - 05:00 PM,31.588,74.315,2.5,9,70,Includes Sheesh Mahal (Palace of Mirrors) and Naulakha Pavilion.
Lahore,Minar-e-Pakistan,Historical,National monument marking location of the 1940 Lahore Resolution.,images/lahore/minar_e_pakistan.jpg,4.7,93,50,1.5,All Year,08:00 AM - 08:00 PM,31.592,74.309,3.0,10,80,Towering 70-meter monument surrounded by Greater Iqbal Park.
Lahore,Shalimar Gardens,Historical,Mughal botanical complex built by Emperor Shah Jahan in 1641.,images/lahore/shalimar_gardens.jpg,4.6,90,50,2.0,Spring,08:00 AM - 06:00 PM,31.585,74.382,7.0,18,180,Three terraced levels with 410 marble fountains.
Lahore,Food Street Fort Road,Culture,Vibrant dining precinct facing illuminated Mughal monuments.,images/lahore/food_street.jpg,4.8,95,0,2.0,All Year,06:00 PM - 01:00 AM,31.589,74.313,2.2,8,60,Rooftop dining overlooking Badshahi Mosque.
Larkana,Mohenjo-daro,Historical,UNESCO World Heritage archaeological site of ancient Indus Valley civilization.,images/larkana/mohenjo_daro.jpg,4.9,98,100,3.5,Winter,08:30 AM - 05:00 PM,27.324,68.135,28.0,40,700,4500-year-old planned city with Buddhist stupa.
Larkana,Garhi Khuda Bakhsh,Historical,Mausoleum complex of the Bhutto family.,images/larkana/garhi_khuda_bakhsh.jpg,4.5,84,0,1.5,All Year,08:00 AM - 06:00 PM,27.670,68.350,22.0,30,550,White marble mausoleum with traditional Sindhi mirrors.
Larkana,Shahnawaz Bhutto Library,Culture,Public library housed in a grand classical revival building.,images/larkana/shahnawaz_library.jpg,4.2,70,0,1.0,All Year,09:00 AM - 05:00 PM,27.558,68.210,1.5,5,40,Public study halls and historic archives.
Larkana,Tomb of Shah Baharo,Historical,18th-century tomb of Kalhora general featuring ornate tile work.,images/larkana/tomb_shah_baharo.jpg,4.3,74,0,1.0,All Year,08:00 AM - 06:00 PM,27.560,68.215,2.0,6,50,Glazed blue tile dome architecture.
Larkana,Dhamrah Dero,Historical,Archaeological mound revealing pre-Islamic Indus settlements.,images/larkana/dhamrah_dero.jpg,4.1,65,0,1.5,Winter,09:00 AM - 05:00 PM,27.500,68.150,15.0,25,380,Ancient Buddhist and Indus pottery mound.
Mardan,Takht-i-Bahi,Historical,Ancient Indo-Parthian Buddhist monastery complex founded in 1st century AD.,images/mardan/takht_i_bahi.jpg,4.9,97,100,3.0,Spring,08:30 AM - 05:00 PM,34.319,71.947,16.0,25,400,UNESCO World Heritage site set high on a mountain crest.
Mardan,Jamal Garhi,Historical,Historical Buddhist ruins famed for Gandharan sculptures.,images/mardan/jamal_garhi.jpg,4.6,86,50,2.0,Spring,08:30 AM - 05:00 PM,34.330,72.060,18.0,28,450,Stupa courtyard and monastic cells.
Mardan,Guides Memorial,Historical,Victorian military memorial erected in honor of the Queen's Own Guides.,images/mardan/guides_memorial.jpg,4.2,72,0,0.5,All Year,24 Hours,34.198,72.040,1.0,4,25,Located in cantonment area.
Mardan,Bacha Khan Memorial Park,Family,Public park and cultural center dedicated to Khan Abdul Ghaffar Khan.,images/mardan/bacha_khan_park.jpg,4.3,76,20,1.5,Spring,08:00 AM - 09:00 PM,34.205,72.045,2.5,8,60,Fountains and children play equipment.
Mardan,Mardan Museum,Culture,Archaeological museum containing Gandhara civilization statues.,images/mardan/mardan_museum.jpg,4.4,80,30,1.5,All Year,09:00 AM - 05:00 PM,34.200,72.042,1.8,6,45,Rich collection of Gandharan schist stone carvings.
Mingora,Fizagat Park,Family,Scenic riverside park along the Swat River popular for families.,images/mingora/fizagat_park.jpg,4.5,86,30,2.0,Summer,08:00 AM - 08:00 PM,34.790,72.370,4.0,10,100,Riverfront benches, boat rides, and trout restaurants.
Mingora,Swat Museum,Culture,Museum housing one of the finest collections of Gandhara Buddhist art.,images/mingora/swat_museum.jpg,4.7,91,50,2.0,All Year,09:00 AM - 05:00 PM,34.775,72.358,1.5,5,40,Designed by Italian archaeological mission.
Mingora,Butkara I,Historical,Ancient Buddhist stupa site dating from 3rd century BC.,images/mingora/butkara_i.jpg,4.6,85,50,1.5,Spring,08:30 AM - 05:00 PM,34.768,72.372,3.0,8,75,Founded by Mauryan Emperor Ashoka.
Mingora,Saidu Sharif Stupa,Historical,Sacred stupa ruins located near the royal palace of Swat.,images/mingora/saidu_sharif_stupa.jpg,4.4,78,30,1.0,Spring,08:30 AM - 05:00 PM,34.750,72.355,2.5,7,60,Monastic courtyard excavation site.
Mingora,Mingora Bazaar,Culture,Vibrant traditional market famous for emeralds and Swati shawls.,images/mingora/mingora_bazaar.jpg,4.6,88,0,2.0,All Year,09:00 AM - 09:00 PM,34.772,72.360,1.0,4,30,Traditional Swati embroidery and gemstones.
Multan,Tomb of Shah Rukn-e-Alam,Culture,Masterpiece of Tughluq architecture and iconic symbol of Multan.,images/multan/tomb_shah_rukn_e_alam.jpg,4.9,99,0,2.0,All Year,07:00 AM - 10:00 PM,30.198,71.472,3.0,10,80,Vast octagonal dome with blue Kashigari tiles.
Multan,Shrine of Bahauddin Zakariya,Culture,13th-century mausoleum of the founder of Suhrawardiyya Sufi order.,images/multan/bahauddin_zakariya.jpg,4.7,92,0,1.5,All Year,06:00 AM - 09:00 PM,30.199,71.475,3.2,10,85,Located inside Fort Kohna complex.
Multan,Fort Kohna (Multan Fort),Historical,Historic fortification mound overlooking the city.,images/multan/multan_fort.jpg,4.5,86,0,1.5,All Year,08:00 AM - 07:00 PM,30.197,71.470,2.8,9,70,Elevated view over old city roofs.
Multan,Tomb of Shah Shams Tabrez,Culture,Rebuilt 18th-century mausoleum with striking blue tile ornamentation.,images/multan/shams_tabrez.jpg,4.6,88,0,1.5,All Year,06:00 AM - 09:00 PM,30.205,71.480,4.0,12,100,Located near Ravi riverbed.
Multan,Ghanta Ghar (Clock Tower),Historical,Colonial hall built in 1884 now serving as city cultural center.,images/multan/ghanta_ghar.jpg,4.4,80,0,1.0,All Year,09:00 AM - 05:00 PM,30.195,71.468,2.0,6,50,Colonial Indo-Saracenic hall.
Muzaffarabad,Red Fort (Chak Fort),Historical,16th-century fort built by the Chak rulers of Kashmir.,images/muzaffarabad/red_fort.jpg,4.5,84,50,1.5,Spring,08:30 AM - 05:30 PM,34.372,73.472,2.0,6,50,Surrounded by the Neelum River on three sides.
Muzaffarabad,Neelum-Jhelum Confluence,Nature,Picturesque merging point of the crystal Neelum and Jhelum rivers.,images/muzaffarabad/confluence.jpg,4.6,88,0,1.0,All Year,24 Hours,34.360,73.468,1.5,5,40,Famous Domel point in town center.
Muzaffarabad,Pir Chinasi,Nature,Breathtaking mountain peak and shrine at 9500 ft elevation.,images/muzaffarabad/pir_chinasi.jpg,4.8,96,0,3.5,Summer,06:00 AM - 06:00 PM,34.385,73.540,30.0,60,800,Paragliding point and cloud views.
Muzaffarabad,Kutton Waterfall,Nature,Famous cascade in the nearby Neelum Valley region.,images/muzaffarabad/kutton_waterfall.jpg,4.7,91,50,2.5,Summer,08:00 AM - 06:00 PM,34.580,73.850,75.0,110,1800,Hydroelectric station and waterfall pool.
Muzaffarabad,Manjhli Sahn Park,Family,City park offering family recreational spaces and mountain views.,images/muzaffarabad/manjhli_park.jpg,4.2,70,20,1.0,Spring,08:00 AM - 08:00 PM,34.365,73.475,3.0,10,75,Family gardens near river.
Nawabshah,Darawat Dam,Nature,Picturesque water reservoir built near Nawabshah district.,images/nawabshah/darawat_dam.jpg,4.3,74,0,2.5,Winter,08:00 AM - 06:00 PM,26.050,67.950,55.0,70,1400,Lakeside scenery and fresh air.
Nawabshah,Tomb of Nur Mohammad Kalhoro,Historical,18th-century tomb of Kalhora dynasty ruler.,images/nawabshah/tomb_kalhoro.jpg,4.2,70,0,1.0,All Year,08:00 AM - 06:00 PM,26.300,68.350,28.0,35,700,Glazed brickwork dome architecture.
Nawabshah,Chotiari Reservoir,Nature,Massive wetland lake home to migratory waterfowl and wildlife.,images/nawabshah/chotiari_reservoir.jpg,4.4,78,0,3.0,Winter,08:00 AM - 05:00 PM,26.150,68.900,65.0,80,1600,Boating and bird watching.
Nawabshah,HM Khoja Garden,Family,Public park and heritage garden in central Nawabshah.,images/nawabshah/khoja_garden.jpg,4.1,65,10,1.0,Spring,08:00 AM - 08:00 PM,26.245,68.405,2.0,6,50,Playground and walking trails.
Nawabshah,Nawabshah Clock Tower,Historical,Central square landmark built during mid-20th century.,images/nawabshah/clock_tower.jpg,4.0,60,0,0.5,All Year,24 Hours,26.250,68.410,1.0,3,25,Central city bazaar landmark.
Peshawar,Bala Hisar Fort,Historical,Historic fortress rebuilt by Afghan Emperor Sher Shah Suri in 1540.,images/peshawar/bala_hisar.jpg,4.8,94,0,1.5,All Year,09:00 AM - 04:00 PM,34.018,71.568,2.5,8,60,Frontier Corps headquarters; military museum inside.
Peshawar,Qissa Khwani Bazaar,Culture,Famous 'Bazaar of Storytellers' steeped in Silk Road history.,images/peshawar/qissa_khwani.jpg,4.8,96,0,2.0,All Year,09:00 AM - 10:00 PM,34.012,71.562,1.5,5,40,Historic tea houses and brass bazaars.
Peshawar,Peshawar Museum,Historical,Built in 1907 as Victoria Memorial Hall housing Gandhara art.,images/peshawar/peshawar_museum.jpg,4.7,92,50,2.0,All Year,09:00 AM - 05:00 PM,34.008,71.555,2.0,6,50,World's premier collection of Buddhist Gandhara sculptures.
Peshawar,Sethia Khana,Historical,Richly carved 19th-century traditional merchant mansions.,images/peshawar/sethia_khana.jpg,4.6,88,30,1.5,All Year,09:00 AM - 05:00 PM,34.014,71.566,2.2,8,60,Seven interconnected wooden mansions with basement vaults.
Peshawar,Mahabat Khan Mosque,Culture,17th-century Mughal-era mosque built by governor Mahabat Khan.,images/peshawar/mahabat_khan.jpg,4.7,90,0,1.0,All Year,05:00 AM - 08:00 PM,34.015,71.558,1.8,6,45,White marble facade with tall minarets.
Quetta,Hanna Lake,Nature,Scenic turquoise lake surrounded by rugged barren mountains.,images/quetta/hanna_lake.jpg,4.7,92,30,2.5,Summer,08:00 AM - 07:00 PM,30.250,67.150,14.0,25,350,Lakeside restaurant, boat rides, and mountain views.
Quetta,Urak Valley,Nature,Famous apple and peach orchard valley near Quetta.,images/quetta/urak_valley.jpg,4.6,88,0,3.0,Summer,08:00 AM - 06:00 PM,30.280,67.180,21.0,35,500,Waterfall and fruit orchards.
Quetta,Hazarganji Chiltan National Park,Nature,Protected wildlife sanctuary home to the rare Chiltan Markhor.,images/quetta/hazarganji_park.jpg,4.5,84,50,3.0,Spring,08:00 AM - 05:00 PM,30.000,66.850,20.0,30,450,Chiltan Markhor goat sanctuary and natural history museum.
Quetta,Quetta Archaeological Museum,Historical,Museum containing ancient weapons, coins, and manuscripts.,images/quetta/archaeological_museum.jpg,4.3,75,20,1.5,All Year,09:00 AM - 04:00 PM,30.180,66.980,2.0,6,50,Bronze age relics from Mehergarh.
Quetta,Askari Park,Family,Popular urban park with boating lake and leisure activities.,images/quetta/askari_park.jpg,4.2,70,30,1.5,Spring,09:00 AM - 09:00 PM,30.190,66.990,3.0,8,70,Family rides and food stalls.
Rawalpindi,Ayub National Park,Family,One of the largest urban parks in Asia featuring lakes and trails.,images/rawalpindi/ayub_park.jpg,4.7,91,50,3.0,Spring,06:00 AM - 09:00 PM,33.560,73.080,6.0,14,140,Jungle world zoo, lake boating, and open air theater.
Rawalpindi,Raja Bazaar,Culture,Vibrant ancient marketplace operating continuously since British era.,images/rawalpindi/raja_bazaar.jpg,4.5,86,0,2.0,All Year,09:00 AM - 10:00 PM,33.568,73.055,2.0,6,50,Narrow alleyways selling traditional brassware and spices.
Rawalpindi,Rawalpindi Arts Council,Culture,Cultural center hosting traditional art exhibits and plays.,images/rawalpindi/arts_council.jpg,4.3,74,0,1.5,All Year,09:00 AM - 06:00 PM,33.575,73.060,3.0,8,70,Art galleries and auditorium performance hall.
Rawalpindi,Sangni Fort,Historical,18th-century Sikh-era fort built atop a steep cliff.,images/rawalpindi/sangni_fort.jpg,4.4,78,0,2.0,Winter,08:00 AM - 05:00 PM,33.400,73.220,35.0,50,850,Cliffside stone fort overlooking Korang River.
Rawalpindi,Poonch House,Historical,Colonial mansion once serving as the court of rulers of Poonch.,images/rawalpindi/poonch_house.jpg,4.2,70,0,1.0,All Year,09:00 AM - 05:00 PM,33.570,73.050,2.5,7,60,Colonial brick heritage architecture.
Sargodha,Kirana Hills,Nature,Ancient mountain ridge rich in minerals and geological history.,images/sargodha/kirana_hills.jpg,4.4,80,0,2.5,Winter,07:00 AM - 06:00 PM,31.960,72.700,20.0,30,500,Geological rock formations and hiking.
Sargodha,Jinnah Hall,Historical,Historic colonial assembly hall located in city center.,images/sargodha/jinnah_hall.jpg,4.1,66,0,1.0,All Year,09:00 AM - 04:00 PM,32.085,72.670,1.0,3,25,Colonial red brick clock building.
